episode,random_reward,random_win,trained_reward,trained_win
0,0.23236363636363658,285,-1.311272727272728,104
5000,0.35181818181818175,289,-1.0089090909090908,129
10000,1.1563636363636354,383,-0.45963636363636345,199
15000,1.4698181818181828,388,0.02418181818181818,246
20000,1.585090909090909,421,0.13709090909090904,271
25000,1.7619999999999991,437,0.37690909090909086,292
30000,1.8483636363636355,443,0.4805454545454543,315
35000,2.02890909090909,462,0.5232727272727273,320
40000,2.0040000000000004,448,0.6672727272727267,339
45000,2.0065454545454546,446,0.715636363636364,336
50000,2.010545454545455,436,0.5009090909090909,324
55000,2.157454545454547,456,0.6390909090909095,331
60000,1.9936363636363625,447,0.6636363636363638,337
65000,1.949272727272729,439,0.5340000000000001,327
70000,1.9390909090909094,437,0.6625454545454558,340
75000,2.045636363636364,453,0.7241818181818184,345
80000,2.060363636363637,450,0.5767272727272726,330
85000,2.0589090909090895,448,0.688545454545454,338
90000,1.8752727272727265,435,0.5492727272727275,319
95000,2.0543636363636346,440,0.6519999999999998,334
100000,2.067636363636365,456,0.7043636363636354,346
105000,2.0363636363636357,457,0.5258181818181815,317
110000,2.000545454545456,446,0.6589090909090909,338
115000,2.06490909090909,461,0.824363636363637,367
120000,1.9590909090909117,447,0.6670909090909095,337
125000,2.017454545454546,450,0.6676363636363631,339
130000,1.9429090909090934,444,0.6183636363636369,342
135000,1.9841818181818178,445,0.5592727272727271,321
140000,2.1161818181818175,464,0.596545454545454,330
145000,1.9479999999999997,446,0.6349090909090906,337
150000,1.8867272727272726,437,0.4772727272727273,305
155000,1.9779999999999993,457,0.5980000000000009,330
160000,2.1620000000000026,457,0.5232727272727272,319
165000,1.8925454545454539,456,0.5594545454545455,326
170000,2.0641818181818166,450,0.7083636363636361,349
175000,2.0261818181818176,441,0.5701818181818176,322
180000,1.9996363636363637,459,0.6301818181818181,335
185000,2.095272727272728,450,0.6372727272727277,333
190000,1.990181818181819,444,0.5876363636363637,336
195000,2.083090909090909,445,0.5576363636363639,322
200000,2.0490909090909093,447,0.627090909090909,340
205000,1.9883636363636366,449,0.6572727272727276,333
210000,1.9330909090909085,451,0.5405454545454546,318
215000,1.9105454545454534,436,0.5769090909090911,329
220000,2.0134545454545436,455,0.45981818181818135,306
225000,1.9598181818181823,442,0.6583636363636359,324
230000,1.9903636363636388,449,0.5609090909090907,324
235000,2.1634545454545457,455,0.5510909090909086,312
240000,2.1576363636363647,448,0.5879999999999993,342
245000,2.082545454545457,451,0.6994545454545464,340
250000,1.9854545454545474,447,0.6140000000000002,328
255000,2.1032727272727287,451,0.6339999999999998,336
260000,2.0310909090909086,451,0.5470909090909095,332
265000,2.032545454545454,450,0.6460000000000004,342
270000,2.033272727272728,445,0.5770909090909094,332
275000,2.150000000000001,452,0.5361818181818181,323
280000,1.9218181818181832,450,0.6499999999999999,329
285000,2.0638181818181804,443,0.682545454545454,348
290000,2.0345454545454533,449,0.7352727272727267,350
295000,2.0165454545454553,451,0.6201818181818183,335
300000,2.008545454545454,447,0.6545454545454549,340
305000,2.0463636363636364,445,0.6359999999999998,343
310000,2.027636363636364,446,0.6227272727272727,335
315000,2.0545454545454533,457,0.6730909090909089,354
320000,2.1029090909090917,457,0.5892727272727275,328
325000,2.0047272727272727,446,0.6116363636363643,329
330000,2.133454545454546,453,0.7325454545454538,351
335000,1.9825454545454535,450,0.5636363636363639,322
340000,2.037090909090906,457,0.6249090909090911,336
345000,2.048363636363638,451,0.5785454545454545,333
350000,2.0583636363636355,453,0.6618181818181822,337
355000,2.0790909090909073,445,0.5936363636363639,330
360000,1.9230909090909087,453,0.6294545454545453,333
365000,2.021090909090912,450,0.5185454545454548,321
370000,2.086545454545454,448,0.5980000000000003,329
375000,1.9823636363636365,436,0.5623636363636362,330
380000,1.992545454545456,440,0.6969090909090911,336
385000,2.047636363636364,452,0.6029090909090908,339
390000,2.0523636363636357,453,0.5594545454545456,320
395000,2.0549090909090912,443,0.5590909090909087,325
400000,1.97109090909091,456,0.5412727272727278,329
405000,2.114909090909092,456,0.5656363636363635,323
410000,2.0500000000000003,450,0.7112727272727267,347
415000,1.9463636363636374,445,0.6449090909090912,337
420000,2.1010909090909085,448,0.7123636363636358,354
425000,2.061636363636365,450,0.6014545454545451,338
430000,2.0523636363636353,455,0.6614545454545452,342
435000,2.1241818181818193,467,0.5458181818181819,333
440000,1.9634545454545462,447,0.6,331
445000,2.054727272727271,458,0.6336363636363633,344
450000,2.003090909090909,441,0.6476363636363627,325
455000,2.0510909090909095,449,0.5087272727272728,317
460000,2.0067272727272716,450,0.6074545454545456,336
465000,1.9374545454545442,442,0.6301818181818175,337
470000,1.8969090909090889,439,0.5227272727272722,325
475000,1.9467272727272735,445,0.5819999999999997,338
480000,1.973636363636361,443,0.5596363636363636,325
485000,1.953636363636365,446,0.6610909090909085,339
490000,1.9440000000000004,444,0.6932727272727274,348
495000,1.9520000000000008,440,0.6234545454545453,327
